DocumentName,PipelineType,CER,WER,CharAccuracy,WordAccuracy,TokenOverlap,Precision,Recall,F1Score,WordDetectionRate,CorrectWords,MissingWords,ProcessingTimeMs,EvaluatedAt,Type of Document
TypedPres1.png,Agentic,0.0028,0.0152,0.9972,0.9848,0.9804,0.9796,0.9796,0.9796,0.9796,48,1,129192,5/11/2026 22:39,Original data
TypedPres1.png,Baseline,0.1129,0.6212,0.8871,0.3788,0.8235,0.8163,0.8163,0.8163,0.8163,40,9,33,5/11/2026 22:39,Original data
TypedPres2.png,Agentic,0.1173,0.7119,0.8827,0.2881,1,1,1,1,1,40,0,131608,5/11/2026 22:39,Original data
TypedPres2.png,Baseline,0.2179,1.322,0.7821,-0.322,0.9153,0.8333,0.875,0.8536,0.875,35,5,66,5/11/2026 22:39,Original data
LabReport1.png,Agentic,0.3313,1.7183,0.6687,-0.7183,0.9406,0.94,0.9276,0.9338,0.9276,141,11,55541,5/11/2026 22:39,Original data
LabReport1.png,Baseline,0.3558,1.8452,0.6442,-0.8452,0.7854,0.6591,0.7632,0.7073,0.7632,116,36,53,5/11/2026 22:39,Original data
LabReport2.png,Agentic,0.5154,2.0389,0.4846,-1.0389,0.9701,0.972,0.963,0.9675,0.963,104,4,33442,5/11/2026 22:39,Original data
LabReport2.png,Baseline,0.1489,0.5889,0.8511,0.4111,0.6493,0.6481,0.6481,0.6481,0.6481,70,38,87,5/11/2026 22:39,Original data
LabReport3.png,Agentic,0.2345,1.3402,0.7655,-0.3402,0.8947,0.9505,0.9402,0.9453,0.9402,173,11,233149,5/11/2026 22:39,Original data
LabReport3.png,Baseline,0.6656,3.8047,0.3344,-2.8047,0.273,0.3762,0.2065,0.2666,0.2065,38,146,54,5/11/2026 22:39,Original data
LabReport4.png,Agentic,0.4963,2.6734,0.5037,-1.6734,0.9945,0.8079,0.9919,0.8905,0.9919,122,1,92016,5/11/2026 22:39,Original data
LabReport4.png,Baseline,0.4095,2.206,0.5905,-1.206,0.5359,0.4179,0.4553,0.4358,0.4553,56,67,37,5/11/2026 22:39,Original data
Handwritten1.jpg,Agentic,0.013,0.0739,0.987,0.9261,0.9297,0.9323,0.9254,0.9288,0.9254,124,10,143014,5/11/2026 22:39,Original data
Handwritten1.jpg,Baseline,0.5043,2.867,0.4957,-1.867,0.4865,0.4198,0.4104,0.415,0.4104,55,79,267,5/11/2026 22:39,Original data
Handwritten2.jpg,Agentic,0,0,1,1,1,1,1,1,1,31,0,123916,5/11/2026 22:39,Original data
Handwritten2.jpg,Baseline,0.5659,2.5778,0.4341,-1.5778,0.3514,0.4091,0.2903,0.3396,0.2903,9,22,33,5/11/2026 22:39,Original data
Handwritten3.jpg,Agentic,0.3619,1.6522,0.6381,-0.6522,0.6486,0.5897,0.6571,0.6216,0.6571,23,12,56700,5/11/2026 22:39,Original data
Handwritten3.jpg,Baseline,0.8381,3.8261,0.1619,-2.8261,0.027,0.1,0.0286,0.0445,0.0286,1,34,66,5/11/2026 22:39,Original data
Handwritten4.jpg,Agentic,0.1241,0.5484,0.8759,0.4516,0.8511,0.7805,0.8205,0.8,0.8205,32,7,45300,5/11/2026 22:39,Original data
Handwritten4.jpg,Baseline,0.8285,3.6613,0.1715,-2.6613,0.0426,0.1053,0.0513,0.069,0.0513,2,37,206,5/11/2026 22:39,Original data
lab_result_017.png,Agentic,0.1285,0.5556,0.8715,0.4444,1,0.9074,1,0.9515,1,49,0,102417,5/11/2026 22:39,Synthetical Data
lab_result_017.png,Baseline,0.6041,2.6111,0.3959,-1.6111,0.7377,0.6557,0.8163,0.7272,0.8163,40,9,325,5/11/2026 22:39,Synthetical Data
lab_result_019.png,Agentic,0.1184,0.5165,0.8816,0.4835,1,0.8889,1,0.9412,1,48,0,115261,5/11/2026 22:39,Synthetical Data
lab_result_019.png,Baseline,0.6071,2.6484,0.3929,-1.6484,0.6452,0.5833,0.7292,0.6481,0.7292,35,13,37,5/11/2026 22:39,Synthetical Data
lab_result_021.png,Agentic,0.0811,0.3548,0.9189,0.6452,0.9844,0.9434,0.9804,0.9615,0.9804,50,1,142331,5/11/2026 22:39,Synthetical Data
lab_result_021.png,Baseline,0.6044,2.6452,0.3956,-1.6452,0.75,0.7241,0.8235,0.7706,0.8235,42,9,39,5/11/2026 22:39,Synthetical Data
lab_result_024.png,Agentic,0.1304,0.5745,0.8696,0.4255,0.9692,0.9273,0.9623,0.9445,0.9623,51,2,34838,5/11/2026 22:39,Synthetical Data
lab_result_024.png,Baseline,0.6014,2.6489,0.3986,-1.6489,0.7538,0.7458,0.8302,0.7857,0.8302,44,9,254,5/11/2026 22:39,Synthetical Data
lab_result_025.png,Agentic,0.112,0.4783,0.888,0.5217,0.9683,0.8868,0.9592,0.9216,0.9592,47,2,111781,5/11/2026 22:39,Synthetical Data
lab_result_025.png,Baseline,0.715,3.0543,0.285,-2.0543,0.7143,0.6552,0.7755,0.7103,0.7755,38,11,171,5/11/2026 22:39,Synthetical Data
typed_prescription_001.png,Agentic,0.0988,0.6098,0.9012,0.3902,0.9722,0.9444,0.9714,0.9577,0.9714,34,1,41798,5/11/2026 22:39,Synthetical Data
typed_prescription_001.png,Baseline,0.1581,0.9756,0.8419,0.0244,0.8889,0.8857,0.8857,0.8857,0.8857,31,4,49,5/11/2026 22:39,Synthetical Data
typed_prescription_002.png,Agentic,0.1552,0.9773,0.8448,0.0227,1,0.9,1,0.9474,1,36,0,27717,5/11/2026 22:39,Synthetical Data
typed_prescription_002.png,Baseline,0.296,1.8636,0.704,-0.8636,0.9474,0.8718,0.9444,0.9066,0.9444,34,2,40,5/11/2026 22:39,Synthetical Data
typed_prescription_004.png,Agentic,0.0106,0.075,0.9894,0.925,0.9722,0.9722,0.9722,0.9722,0.9722,35,1,116409,5/11/2026 22:39,Synthetical Data
typed_prescription_004.png,Baseline,0.2014,1.425,0.7986,-0.425,0.8889,0.9143,0.8889,0.9014,0.8889,32,4,187,5/11/2026 22:39,Synthetical Data
typed_prescription_007.png,Agentic,0.0833,0.525,0.9167,0.475,1,0.9722,1,0.9859,1,35,0,128830,5/11/2026 22:39,Synthetical Data
typed_prescription_007.png,Baseline,0.3056,1.925,0.6944,-0.925,0.9429,0.9429,0.9429,0.9429,0.9429,33,2,143,5/11/2026 22:39,Synthetical Data
typed_prescription_008.png,Agentic,0.0209,0.1304,0.9791,0.8696,0.975,0.973,0.973,0.973,0.973,36,1,153575,5/11/2026 22:39,Synthetical Data
typed_prescription_008.png,Baseline,0.1916,1.1957,0.8084,-0.1957,0.95,0.9722,0.9459,0.9589,0.9459,35,2,90,5/11/2026 22:39,Synthetical Data
